IssueKey,Summary
OP-7743,"Epic to track all the OES Release 3.11 stories and bugs"
OP-7748,"Not able to extract the OPA path inside the trigger runtime policy API in SAPOR service"
OP-7749,"Java/UI - Audit - While downloading csv file api is failing or some other reason show some proper error message "
OP-7750,"Java - Audit - Audit data will display based on deployment details, if no deploy stage added to OES gates in Audit it will show NO gates available"
OP-7754,"Java- Active and Away users list "
OP-7769,"AonA--Gate Service--To enable flag for spinnaker and disbale for stand alone application."
OP-7771,"AonA--Metrics are not getting refreshed on select  of the  failed metrics tab."
OP-7780,"OSS Spinnaker - Policy gate insertion is failing "
OP-7783,"Java-Remove mapping of service with entropy"
OP-7784,"Albertson issue : Make the retrofit readTimeout , callTimeout and connectionTimeout configurable in GATE service"
OP-7805,"UI - Setup - Approval connectors - Add new connector tool tip is staying at top left corner"
OP-7832,"Please remove OPA account and engine columns in the policy management   Add applications or services using these pipelines."
OP-7842,"List of Integrator have Both Capital Letter words and Camel Case words."
OP-7848,"2. In all pages wherever the grid is integrated before loading the data we are showing advance filter, sync button, new account creation also column selection. we should not show the features until grid is loaded"
OP-7857,"Java -  Usage Insights - Gates used - Inconsistency behaviour with last one day graph "
OP-7863,"QA-Need to verify   Sumologic functionality "
OP-7868,"Automation - Usage Insight automation test cases"
OP-7895,"Not able to connect OES to Spinnaker using bitbucket"
OP-7898,"Java -  Getting DB connection issue while the analysis is running"
OP-7899,"InsightsController API update"
OP-7910,"Java- Autopilot  verification  and test verification type issue"
OP-7911,"SAPOR API's  should return ContentType  as JSON "
OP-7914,"Epic to track all the OES Release 3.11 stories and bugs"
OP-7915,"Stackoverflow error is coming when we set logging.level.root=DEBUG in autopilot configmap & trigger a canary"
OP-7917,"Java- need to implement  stackdriver datasource creation"
OP-7918,"Java - Policy Management - Issue with policy account name (when policy accname not available)"
OP-7948,"3.9.4: Adding dir to pipeline config in spinnaker setup fails"
OP-8180,"The connection between back-end and MinIO server in AonA is not working as expected."
OP-8312,"3.9.4: Delete pipeline is giving a plugin-related error"
OP-8364,"Java - Platform Service : Add Authentication for the integrator AMAZON S3 "
OP-9568,"Identify the authentication API and implement it for integrator Amazon s3"
OP-9606,"Desk Check"
OP-9760,"UI Automation - Script Preparation & Execution"
OP-8365,"Java - Platform Service : Add Authentication for the integrator HCL AppScan"
OP-9571,"Identify the authentication API and implement it for HCL AppScan integrator "
OP-9608,"Desk Check"
OP-9816,"UI Automation - Script Preparation & Execution"
OP-8366,"Java - Platform Service : Add Authentication for the integrator Aqua wave"
OP-9572,"Identify the authentication API and implement it for Aqua wave"
OP-9610,"Desk Check"
OP-9817,"UI Automation - Script Preparation & Execution"
OP-8367,"Java - Platform Service : Add Authentication for the integrator Autopilot"
OP-9437,"Functional QA - Test Cases Review"
OP-9573,"Identify the authentication API and implement it for Autopilot integrator"
OP-9611,"Desk Check"
OP-9818,"UI Automation - Script Preparation & Execution"
OP-8368,"Java - Platform Service : Add Authentication for the integrator Aws CLOUDWATCH"
OP-9612,"Desk Check"
OP-9755,"UI Automation - Script Preparation & Execution"
OP-8370,"Java - Platform Service : Add Authentication for the integrator Jira"
OP-9614,"Desk Check"
OP-9756,"UI Automation - Script Preparation & Execution"
OP-8371,"Java - Platform Service : Add Authentication for the integrator Slack"
OP-9574,"Identify the authentication API and implement it for the integrator slack"
OP-9616,"Desk Check"
OP-9819,"UI Automation - Script Preparation & Execution"
OP-8372,"Java - Platform Service : Add Authentication for the integrator SumoLogic"
OP-9575," Identify the authentication API and implement it for the integrator Sumologic"
OP-9617,"Desk Check"
OP-9820,"UI Automation - Script Preparation & Execution"
OP-8373,"Java - Platform Service : Add Authentication for the integrator Stack driver"
OP-9576,"Identify the authentication API and implement it for the integrator Stack driver"
OP-9618,"Desk Check"
OP-9821,"UI Automation - Script Preparation & Execution"
OP-8374,"Java - Platform Service : Add Authentication for the integrator Bitbucket && Bitbucket server"
OP-9620,"Desk Check"
OP-9758,"UI Automation - Script Preparation & Execution"
OP-8375,"Java - Platform Service : Add Authentication for the integrator Jfrog Xray Scanning"
OP-9621,"Desk Check"
OP-9622,"Identify the authentication API and implement it for integrator Jfrog Xray Scanning"
OP-9759,"UI Automation - Script Preparation & Execution"
OP-8376,"Java - Platform Service : Add Authentication for the integrator Service now"
OP-9623,"Identify the authentication API and implement it for integrator Service now "
OP-9624,"Desk Check"
OP-9729,"UI Automation - Script Preparation & Execution"
OP-8400,"UI-Create Application - Verify validation for empty application name field"
OP-8439,"Spinnaker--Not able to see the created applicationin "Search"  field ."
OP-8444,"Caching frequently accessed APIs"
OP-8548,"Agent for AWS - on EKS or Kubernets"
OP-8551,"Audit Data to support custom fields from visibility and Search for pipeline parameters"
OP-8552,"Role based RBAC - 3.11"
OP-8553,"Stage level RBAC for editing from developers - Try as a policy"
OP-8554,"Version control of Pipelines as plugin for Front50"
OP-8557,"UI- Cleanup - 3.11"
OP-8559,"Performance Improvement of log/metrics analysis load"
OP-8558,"Performance - 4000 Apps, 4000s pipelines/day "
OP-8619,"Context Help"
OP-8625,"Agent Integrator - While Accepting the agent accounts not able to fetch group permission details"
OP-10007,"UI Changes - Agent Integrator - While Accepting the agent accounts not able to fetch group permission details"
OP-11028,"Code Review - UI changes, passing agentId to fetch the group permission details"
OP-8704,"Help Text has to be added for  the screen - Setup -> Application -> New Application -> Metric Template -> Click on plus(+) icon -> Custom"
OP-8707,"Functional  - Test Case Preparation"
OP-8709,"UI Automation - Script Preparation & Execution"
OP-8710,"UI Automation – Review"
OP-8692,"Help Text has to be added for  the screen - Setup -> Application -> New Application -> Metric Template -> Click on plus(+) icon -> APM & INFRA"
OP-8750,"Help Text has to be added for  the screen - Setup Page -> Application -> Services"
OP-8754,"Test cases Execution"
OP-8781,"Help Text has to be added for  the screen Compliance -> Policy Management"
OP-8784,"Test Case Preparation"
OP-9265,"Application Naming convention validation using OPA Static policy while creating application from Spinnaker..."
OP-10028,"UI Automation - Script Preparation & Execution"
OP-8987,"Filter Insights based on App Permissions - Delivery Insights"
OP-8988,"Functional QA - Test Cases Preparation"
OP-8989,"Functional QA - Test Cases Execution"
OP-8991,"API Automation Script development & Execution"
OP-8808,"Help Text under help button has to be added for  the screen -  Setup -> Integrator"
OP-8812,"Test cases Execution"
OP-8813,"UI Automation - Script Preparation & Execution"
OP-8814,"UI Automation – Review"
OP-10441,"PR Review"
OP-8897,"Help Text has to be added for  the screen Dashboard -> Insights -> Delivery Insights"
OP-8712,"Help Text has to be added for  the screen - Continous Verification -> Verification -> Log Aanalysis & Summary"
OP-8715,"Test Case Preparation"
OP-8716,"Test cases Execution"
OP-8727,"Help Text has to be added for  the screen - Setup Page -> Application -> Services -> Log Template -> Log Provider & Log Topics & Log Tags"
OP-8730,"Test Case Preparation"
OP-8731,"Test cases Execution"
OP-8732,"UI Automation - Script Preparation & Execution"
OP-8733,"UI Automation – Review"
OP-8738,"Help Text tooltip to be added for  the screen Setup Page -> Creation of New Application"
OP-8749,"Filter Insights based on App Permissions"
OP-8788,"Help Text has to be added for  the screen Continious Delivery -> Visibility and Approval"
OP-8792,"Test cases Execution"
OP-8794,"UI Automation – Review"
OP-8910,"Help Text has to be added for  the screen Dashboard -> Insights -> Usage Insights"
OP-8853,"Performance Testing using JMeter"
OP-10834,"Modify the script to use different user groups while running performance tests"
OP-10871,"Include Metrics Analysis in Performance Test script"
OP-8992,"Filter Insights based on App Permissions - Usage Insights"
OP-8993,"Functional QA - Test Cases Preparation"
OP-9557,"Implement API changes for the Usage Insights endpoints"
OP-8889,"Help Text has to be added for  the screen Continuous Verification -> Verification -> Log Analysis "
OP-8894,"UI Automation - Script Preparation & Execution"
OP-8895,"UI Automation – Review"
OP-8920,"Extend the session when the user is active on the client side"
OP-9865,"Document the approach"
OP-9866,"API - provide an api that takes a duration as input and extend the backend session "
OP-9867,"UI - Development"
OP-9868,"Desk Check"
OP-9869,"Unit Testing"
OP-10566,"API to send the session timeout duration"
OP-11024,"Flow Chart the solution"
OP-8930,"Help Text has to be added for  the screen Continuous Verification -> Verification -> Metric Analysis"
OP-8933,"Test Case Preparation"
OP-8934,"Test cases Execution"
OP-8935,"UI Automation - Script Preparation & Execution"
OP-8936,"UI Automation – Review"
OP-8940,"Help Text has to be added for  the screen Continuous Verification -> Verification -> Correlation"
OP-8945,"UI Automation - Script Preparation & Execution"
OP-8946,"UI Automation – Review"
OP-8977,"Font - Consistency in font & New Font implementation"
OP-9291,"clone"
OP-8981,"Story Definition and Story Grooming"
OP-8980,"Unit Testing"
OP-8984,"Review Functional  test case"
OP-8999,"Verification"
OP-9000,"Story Definition and Story Grooming"
OP-9001,"UI Development - Design Implementaion"
OP-9002,"Unit Testing"
OP-9003,"Desk Check"
OP-9009,"Tab - New Design"
OP-9010,"Story Definition and Story Grooming"
OP-9011,"UI Development - Design Implementaion"
OP-9012,"Unit Testing"
OP-9013,"Desk Check"
OP-9018,"Heading - in each page"
OP-9027,"Summary Boxes "
OP-9028,"Story Definition and Story Grooming"
OP-9034,"UI Automation - Script Preparation & Execution"
OP-9035,"UI Automation – Review"
OP-9036,"Application Dashboard"
OP-9037,"Story Definition and Story Grooming"
OP-9038,"UI Development - Design Implementaion"
OP-9039,"Unit Testing"
OP-9040,"Desk Check"
OP-9043,"UI Automation - Script Preparation & Execution"
OP-9044,"UI Automation – Review"
OP-9045,"Insights - New Design"
OP-9047,"UI Development - Design Implementaion"
OP-9052,"UI Automation - Script Preparation & Execution"
OP-9053,"UI Automation – Review"
OP-9059,"Deployment History"
OP-9066,"UI Automation - Script Preparation & Execution"
OP-9067,"UI Automation – Review"
OP-9069,"Application Creation"
OP-9070,"Story Definition and Story Grooming"
OP-9071,"UI Development - Design Implementaion"
OP-9076,"UI Automation - Script Preparation & Execution"
OP-9077,"UI Automation – Review"
OP-9083,"Framework and Approach definition"
OP-9088,"Functional QA – Test Cases Execution"
OP-9084,"Story definition and story grooming"
OP-9090,"Policy Management "
OP-9091,"Story Definition and Story Grooming"
OP-9092,"UI Development - Design Implementaion"
OP-9093,"Unit Testing"
OP-9094,"Desk Check"
OP-9097,"UI Automation - Script Preparation & Execution"
OP-9098,"UI Automation – Review"
OP-9099,"Audit - Design Changes"
OP-9106,"UI Automation - Script Preparation & Execution"
OP-9107,"UI Automation – Review"
OP-9108,"Pipeline/Gate view - Audit, App Dashboard, Deployment pages"
OP-9109,"Story Definition and Story Grooming"
OP-9110,"UI Development - Design Implementaion"
OP-9111,"Unit Testing"
OP-9112,"Desk Check"
OP-9115,"UI Automation - Script Preparation & Execution"
OP-9116,"UI Automation – Review"
OP-9117,"Visibility and Approval"
OP-9118,"Story Definition and Story Grooming"
OP-9120,"Unit Testing"
OP-9121,"Desk Check"
OP-9124,"UI Automation - Script Preparation & Execution"
OP-9125,"UI Automation – Review"
OP-9126,"Grid - New Design"
OP-9127,"Story Definition and Story Grooming"
OP-9128,"UI Development - Design Implementaion"
OP-9129,"Unit Testing"
OP-9130,"Desk Check"
OP-9133,"UI Automation - Script Preparation & Execution"
OP-9134,"UI Automation – Review"
OP-9135,"Test Verification"
OP-9136,"Story Definition and Story Grooming"
OP-9137,"UI Development - Design Implementaion"
OP-9138,"Unit Testing"
OP-9139,"Desk Check"
OP-9142,"UI Automation - Script Preparation & Execution"
OP-9143,"UI Automation – Review"
OP-9144,"Access Management"
OP-9145,"Story Definition and Story Grooming"
OP-9146,"UI Development - Design Implementaion"
OP-9147,"Unit Testing"
OP-9148,"Desk Check"
OP-9151,"UI Automation - Script Preparation & Execution"
OP-9152,"UI Automation – Review"
OP-9159,"Modify service, service-gate and pipeline entities"
OP-9162,"Search  for audit trail API for pipeline execution tab."
OP-9164,"Visibility connector details as new column (connector data)"
OP-9932,"API - search based on connector data under pipeline execution tab"
OP-10613,"UI - new pipeline execution tab API to support pagination and search"
OP-10841,"Grid Search or any actions in listing pages hiding  search-bar and other items along with grid "
OP-10884,"pr review"
OP-9168,"create unit test cases"
OP-10652,"discussion/KT"
OP-10653,"Research/code walkthrough"
OP-10872,"unit test cases for ElasticSearchLogDownloader"
OP-9172,"Handle multiple UI calls to autopilot"
OP-10643,"https://developer-gate.dev.opsmx.net/autopilot/canaries/getServiceList?canaryId=349"
OP-10644,"https://developer-gate.dev.opsmx.net/autopilot/api/v2/applications/getApplicationHealth?canaryId=349"
OP-10645,"https://developer-gate.dev.opsmx.net/autopilot/canaries/logsData?id=349&serviceId=1"
OP-10646,"https://developer-gate.dev.opsmx.net/autopilot/api/v1/defaultLogTemplate"
OP-10647,"https://developer-gate.dev.opsmx.net/autopilot/canaries/getServiceInformation?canaryId=349&serviceId=1"
OP-9175,"Register Canary Executor Service logic"
OP-10912,"Check if possible to remove CASThreadTrigger and directly calls to LogProvider, MetricProvider threads "
OP-10913,"Add interrupted exception logic "
OP-9177,"Optimize restart canary logic for previous running jobs/analysis"
OP-9178,"optimize cancel canary request"
OP-9179,"optimize auto baseline logic"
OP-9180,"Handle reclassification logic : multithreading - 6"
OP-9181,"Resolve db conn issue for register canary"
OP-9212,"Master - UI - Integrators  -  Unable to add OPA integrator due to UI validation"
OP-9236,"Parsing API Response Into Java Object for APIs"
OP-9237,"Help Text has to be added for  the screen - Setup -> Integrator ->New Integrator -> Monitoring Tools (2)"
OP-9239,"Desk Check"
OP-9242,"Automation - Review"
OP-9243,"Automation Test script Preparation & Execution"
OP-9245,"Story definition & Story Grooming"
OP-9246,"Unit Testing"
OP-9249,"Optimize APIs getting called from outside UI and Spinnaker "
OP-9250,"create Separate tables for register canary analysis status, progress and statistics "
OP-9251,"Design Log Processor"
OP-9779,"break code into logical functions"
OP-9780,"RunLogAnalysis class create separate logic from CASTrigger "
OP-9782,"RunMetricAnalysis create separate logic from CAS Trigger"
OP-9787,"Handle sonarqube messages from new classes"
OP-10137,"Preparing  Request Payload model and Request Response for data science log analysis api"
OP-10162,"Data Science request loop issue fix"
OP-10262,"DataScience  response status handling logic changes"
OP-9252,"On Mouse hover, every element in UI should respond either by colour change or with some shadow"
OP-9253,"Set maximum width to the application. App looks odd in widescreen monitor"
OP-9262,"Implement caching mechanism in PLATFORM service"
OP-10255,"Cache the response of the GET API : /platformservice/v1/users/{username}/isadmin"
OP-10256,"Cache the response of the GET API : /platformservice/v1/users/{username}/resources/{resourceId}/{resourceType}/permissions"
OP-10257,"Cache the response of the GET API : /platformservice/v1/users/{username}/resources/{resourceType}/permissions/{permissionId}"
OP-10258,"Cache the response of the GET API : /platformservice/v1/users/{username}/resources/{resourceId}/{resourceType}/permissions/{permissionId}"
OP-10259,"Cache the response of the GET API : /platformservice/v1/users/{username}/verifications/applications"
OP-10260,"Cache the response of the GET API : /platformservice/v2/datasource"
OP-9270,"Help Text has to be added for  the screen - SetUp -> Integrator ->New Integrator ->  SAST/DAST"
OP-9275,"Automation Test Script Preparation & Execution"
OP-10154,"Automation - Review"
OP-9296,"Bugs and Issues from v3.9 and 3.10"
OP-9298,"API automation"
OP-9299,"Development support - Cloud, Name Space requests, Build issues"
OP-9357,"Sample Story Template  - Help Text has to be added for  the screen - Setup Page -> Application -> Services"
OP-9362,"Functional Functional QA – Test Cases Execution"
OP-9383,"UI - Field level specific validations"
OP-9388,"UI Automation - Script Preparation & Execution"
OP-9389,"UI Automation – Review"
OP-9445,"End to End Testing of Logs And Metrics "
OP-9480,"Help Text has to be added for  the screen SetUp -> Cloud Provider ->"
OP-9483,"Test Case Preparation"
OP-9485,"Test cases Execution"
OP-9489,"Review - Functional test case preparation"
OP-9492,"Help Text has to be added for  the screen SetUp -> Agent"
OP-9495,"Test Case Preparation"
OP-9497,"Test cases Execution"
OP-9499,"Review - Functional Test cases Preparation"
OP-9504,"Help Text has to be added for  the screen SetUp -> Spinnaker"
OP-9509,"Funcitonal QA Test cases Execution"
OP-9513,"Review - Test cases preparation"
OP-9539,"Include pipeline json in the pipeline execution audit details."
OP-9542,"Create new table to support pipeline execution json"
OP-9543,"API- new API to fetch Pipeline Execution JSON "
OP-9544,"Dev Testing and Fine Tuning"
OP-9548,"Unit Test Cases"
OP-9549,"Dev Demo to QA"
OP-9855,"Functional QA - Test Case Creation"
OP-10615,"UI - new API to fetch pipeline execution json on click in view data in pipeline execution tab"
OP-10951,"Junit Test Cases For Pipeline Execution Summary Api"
OP-10953,"Junit test cases for pipline execution  json API"
OP-9541,"Defects Fixing."
OP-9546,"Optimize reclassification logic "
OP-9553,"Stack Driver implementation for logs"
OP-9558,"Optimize logic for UI-Dashboard APIs"
OP-9902,"Desk Check for OP-11326"
OP-10901,"optimize autopilot/canaries/verification/getVerificationSummary"
OP-10918,"optimize autopilot/api/v2/permissions/read/getApplications?verificationType=NV"
OP-10960,"Research for pagination logic for JPA DTO projections for getVerificationHistory API"
OP-9579,"Data source creation along with UI integration"
OP-9580,"RBAC 3.11 - Audit trail as a feature"
OP-9582,"RBAC 3.11 - Policy as a feature"
OP-11111,"Analysis current rbac implementation of policy Management"
OP-9603,"prepare search query to fetch logs"
OP-9791,"Prepare search query to fetch logs"
OP-9604,"Process log-analysis"
OP-9743,"API Automation "
OP-10001,"push different size  logs for stackdriver "
OP-9626,"Implement LogDownloader For different log data sources"
OP-10728,"Refactor GrayLogdownloader according to Framework"
OP-9663,"Learning /Training/KT"
OP-9664,"New Onboarding"
OP-9692,"Production pipeline - GitPR"
OP-9693,"Production pipeline - GitPR"
OP-10134,"refactoring the current API automation framework to make it in to only three packages"
OP-10591,"checking failures in pr no 4375 to analytics repo from anoop sing ,analysis failures"
OP-9696,"Issues found by Autopilot on Autopilot"
OP-9698,"Production pipeline for Nightly build"
OP-9778,"Release ISD 3.11"
OP-9822,"Java - Platform Service : Add Authentication for the integrator Artifactory"
OP-9828,"Identify the authentication API and implement it for integrator Artifactory"
OP-9829,"Desk Check"
OP-9830,"UI Automation - Script Preparation & Execution"
OP-9831,"Java - Platform Service : Add Authentication for the integrator GitHub"
OP-9837," Identify the authentication API and implement it for integrator GitHub"
OP-9838,"Desk Check"
OP-9839,"UI Automation - Script Preparation & Execution"
OP-9854,"UI-Continuous API call(https://observer-gate.aoa.oes.opsmx.org/autopilot/api/v1/applications/1/tags)  for the services which is having Unexpected clusters in AonA instance."
OP-9870,"Capture the Validation Rules/Scenarios with the Associated error message in a spreadsheet."
OP-10710,"Integrations - List the UI field level validations and actions in the doc attached to story"
OP-10711,"Spinnaker - List the UI field level validations and actions in the doc attached to story"
OP-10713,"Cloud Provider - List the UI field level validations and actions in the doc attached to story"
OP-10714,"Agent - List the UI field level validations and actions in the doc attached to story"
OP-10715,"Application - Gate level - List the UI field level validations and actions in the doc attached to story"
OP-10716,"Log Template - List the UI field level validations and actions in the doc attached to story"
OP-10717,"Metric Template - List the UI field level validations and actions in the doc attached to story"
OP-10718,"Policy Management - List the UI field level validations and actions in the doc attached to story"
OP-10719,"Access Management - List the UI field level validations and actions in the doc attached to story"
OP-10720,"Manual Trigger - List the UI field level validations and actions in the doc attached to story"
OP-9926,"Analysis on the requirement for this Epic"
OP-9928,"SAPOR KT"
OP-10039,"Help Text has to be added for  the screen - Setup -> Integrator ->New Integrator ->Notifications"
OP-10077,"3.9.1.2: OES-application-service- link not show, no error"
OP-10107,"3.9.5: SAPOR does not update the username when changed in gitops-integrator"
OP-10114,"UI - Field Validations"
OP-10144,"Story grooming"
OP-10151,"Integrators -  Add missing data sources to gcp-dev cluster"
OP-10158,"3.9.5: changing user in gitops-integrator causes sapor to fail git-sync"
OP-10159,"3.9.5: OES-SAPOR does not check WRITE acccess to the token"
OP-10160,"Night issues - Facing issues while creating integrators"
OP-10173,"UI Field Level Validations has to be added for  the screen SetUp -> Agent"
OP-10176," Test Case Preparation"
OP-10185,"Java Api and Hands on Project task"
OP-10186,"Java Theory vs Hands on coverage"
OP-10189,"UI Field level validations has to be added for  the screen SetUp -> Cloud Provider "
OP-10195,"Test cases Execution"
OP-10199,"Review - Functional test case preparation"
OP-10200,"UI Field Level Validations has to be added for the Setup -> Application screen"
OP-10203,"Test Case Preparation"
OP-10205,"Functional QA – Test Cases Execution"
OP-10207,"Review - Functional Test cases Preparation"
OP-10212,"Display Error page upon /error"
OP-11021,"UI Development"
OP-11112,"guidance on gate local setup"
OP-10215,"Performance Testing: Pipelines do not imported into OES from Spinnaker "
OP-10220," Help Text has to be added for  the Security -> Access Management"
OP-10224,"Test cases Execution"
OP-10239,"UI Field level validations has to be added for  the screen SetUp -> Integrations"
OP-10243,"Desk Check"
OP-10245,"Functional QA – Test Cases Execution"
OP-10246," UI Automation Test Script Preparation & Execution"
OP-10249,"Review - Functional test case preparation"
OP-10263,"3.9.5 : Not able to get details of Sonaqube in visibility page, if endpoint not endswith "/""
OP-10267,"Performance Testing: Unable to view pipelines in OES"
OP-10268,"RBAC 3.11 - Requirement Analysis "
OP-10269,"ISD Epic to track the Tech debt"
OP-10270,"Setup - Metric template - UI is not loading properly "
OP-10273,"UI Field level validations has to be added for the screen SetUp -> Spinnaker"
OP-10277,"Desk Check"
OP-10287,"9Dec2021--AonA Issues"
OP-10289,"Baseline Metrics are higher than Newrelase Metrics for Datascience service."
OP-10305,"Load help-text.json from service "
OP-10336,"Load help-text.json from service for 3.9 and 3.10"
OP-10876," Latest yml file to map helptext json from config file "
OP-10893,"helpText from service file - Verification, Test Verification , Manual Trigger"
OP-10897,"PR Review - Verification Pages"
OP-10354,"UI Field level validations has to be added for the screen Application SetUp -> Service"
OP-10359,"Functional QA – Test Cases Execution"
OP-10380,"Restrict space for the input field which does not accept space "
OP-10412,"Functional Test Cases Preparation"
OP-10419,"Functional QA – Test Cases Execution"
OP-10420,"UI Automation Test Script Preparation & Execution"
OP-10422,"Review - Test cases preparation"
OP-10381,"Need to restrict the space in all the input fields in Spinnaker, Agent and Cloud Provider"
OP-10382,"Need to restrict the space in all the input fields in Integrators"
OP-10384,"Need to restrict the space in all the input fields in Policy"
OP-10507,"Functional Test Cases Preparation"
OP-10508,"Functional QA – Test Cases Execution"
OP-10509,"UI Automation Test Script Preparation & Execution"
OP-10510,"Automation Review"
OP-10511,"Review - Test cases preparation"
OP-10427,"Setup - Delete service -  unable to delete service when user has any verification gate"
OP-10430,"Help Text has to be added for  the screen - Continous Verification -> Verification -> Manual Trigger"
OP-10433,"Test Case Preparation"
OP-10434,"Functional QA – Test Cases Execution"
OP-10436,"Review - Test Cases Preparation"
OP-10457,"check for REVOKED/FAILURE timeout status for DS response"
OP-10911,"desk check"
OP-10486,"UI Field level validations has to be added for the screen Application SetUp -> Service -> Gate"
OP-10492,"Functional QA Test Case Preparation"
OP-10493,"Functional QA Functional QA – Test Cases Execution"
OP-10496,"Review - Test cases preparation"
OP-10515,"New OES setup for developers"
OP-10557,"Upgrade developer2 ns with Spinnaker and Gitops style"
OP-10524,"UI Field Level Validations has to be added for  the screen SetUp -> Application -> New Application -> Metric Template"
OP-10535,"UI Field Level Validations has to be added for  the screen SetUp -> Application -> New Application -> Log Template"
OP-10542,"Review - Functional Test cases Preparation"
OP-10549,"Adding the Encryption in spinnaker config"
OP-10730,"Functional QA - Test Cases Preparation"
OP-10734,"Identifying Api and adding the encryption in Spinnaker config"
OP-10735,"Desk Check"
OP-10554,"Terrform Custom Stage as a spinnaker Plugin"
OP-10556,"Spinnaker status not connected in SAML enabled environment "
OP-10558,"Update Log4J for all services"
OP-10603,"changes for dashboard service "
OP-10611,"End to end testing by QA"
OP-10870,"Test Log4j changes in 3.8, 3.9, & 3.10"
OP-10559,"Upgrade Log4J to the latest version(Log4j-core 2.16)"
OP-10563,"Trigger a pipeline from ISD"
OP-10565,"User should be able to trigger the pipeline from ISD"
OP-10789,"Load the popup on clicking of Start New Deployment button"
OP-10790,"Load the dynamic form based on the pipeline parameters fields fetched"
OP-10791,"Trigger the Pipeline based on the selected the parameters and navigate to Spinnaker pipeline page"
OP-10843,"Unit testing"
OP-10844,"Desk check"
OP-10842,"Code review"
OP-10969,"Functional QA -  Test case Creation"
OP-10569,"Adding the Encryption in Integrations config"
OP-10741," Identify the API and adding the encryption for Integrations"
OP-10570,"Adding the Encryption in Cloud Providers config"
OP-10744,"Functional QA - Test Cases Preparation"
OP-10746,"Functional QA - Test Cases Review"
OP-10749," Identify the API and adding the encryption in Cloud Providers"
OP-10574,"Finalising the app theme"
OP-10608,"UI--Not able to see the created Integrator in the search field as soon as it is created"
OP-10617,"UI change for access management -> admin role selection"
OP-10618,"Roles section for access management screen"
OP-10619,"Plugin implementation for Spinnaker"
OP-10620,"CRUD screen for individual role permissions"
OP-11030,"New CRUD API design for user role page"
OP-10622,"Plugin implementation for Orca to support RBAC validation while Application create/update"
OP-10689,"Find out how to create task as a plugin and include it in Orca"
OP-10836,"Functional QA - Test Cases Execution"
OP-10839,"UI Automation - Script Preparation & Execution"
OP-10624,"Github Integrator is saving with wrong credentials"
OP-10629,"15Dec2021--AonA Issues"
OP-10634,"ERROR CanaryId=14: Failed to download v1 logs"
OP-10638,"New table design for user roles feature"
OP-10639,"New table design discussion"
OP-10641,"Connection issue log messages in data-science pods"
OP-10688,"Plugin implementation to Terra-form. "
OP-10697,"Handover of development tool generation and plotting process to devops team"
OP-10698,"Walk-though of data generation scripts to devops team"
OP-10699,"Walk-through of data plotting steps to devops team"
OP-10704,"Analyitcs-Metrics Issues"
OP-10706,"DataScience--Metrics Issues"
OP-10707,"Gate--Metrics Issues"
OP-10708,"Visibility - Metrics Issues"
OP-10709,"Sapor - Metrics Issues"
OP-10712,"Platform - Metrics Issues"
OP-10725,"Tool tip Icon appears after removal of key in Json"
OP-10729,"performance Testing: Every time two requests are sent to fetch application details from OES UI"
OP-10752,"Stop the pod restarts on the Performance namespace"
OP-10763,"Menu"
OP-10764,"Story Definition and Story Grooming"
OP-10765,"UI Development - Design Implementaion"
OP-10767,"Desk Check"
OP-10766,"Unit Testing"
OP-10770,"UI Automation - Script Preparation & Execution"
OP-10771,"UI Automation – Review"
OP-10772,"Drop down"
OP-10773,"Story Definition and Story Grooming"
OP-10774,"UI Development - Design Implementaion"
OP-10775,"Unit Testing"
OP-10776,"Desk Check"
OP-10785,"GATE service build is failing due to the shutdown of bintray"
OP-10788,"3.9.5: "source Path" is given spinnaker-accounts, it gives an error"
OP-10794,"Prisma Cloudis not saving with Correct Credentials"
OP-10795,"3.9.5: "source Path" in spinnaker-accounts-text needs to change"
OP-10796,"Log Analysis"
OP-10797,"Story Definition and Story Grooming"
OP-10803,"UI Automation - Script Preparation & Execution"
OP-10804,"UI Automation – Review"
OP-10805,"Metric Analysis"
OP-10806,"Story Definition and Story Grooming"
OP-10812,"UI Automation - Script Preparation & Execution"
OP-10813,"UI Automation – Review"
OP-10814,"Correlation"
OP-10821,"UI Automation - Script Preparation & Execution"
OP-10822,"UI Automation – Review"
OP-10823,"Application Listing"
OP-10824,"Story Definition and Story Grooming"
OP-10825,"UI Development - Design Implementaion"
OP-10826,"Unit Testing"
OP-10827,"Desk Check"
OP-10830,"UI Automation – Review"
OP-10831,"UI Automation - Script Preparation & Execution"
OP-10846,"Unable to view default pipelines(Sampleapp,Opsmx-gitops) when we enable authorisation  in spinnaker"
OP-10847,"RBAC 3.11 - Application as a feature"
OP-10848,"RBAC 3.11 - Integrations as a feature"
OP-10849,"RBAC 3.11 - Cloud Provider as a feature"
OP-10851,"Rename permissions"
OP-10864,"3.9.5: Agent-manifest requires cluster access"
OP-10869,"Implement retry mechanism for the failed test cases in current API automation framework"
OP-10873,"Performance Testing: Manual Canary Trigger page is unresponsive"
OP-10877,"Performance Testing: Application dashboard page is taking 23 seconds to load the summary of the applications"
OP-10880,"Setup - Edit log template - Submit button is shown in disable mode"
OP-10881,"Performance Testing: Verification page is taking nearly 30 seconds to load all the details"
OP-10882,"This epic will track all the research, support and experimental works carried out by data-science team. "
